"AB_category"	"category_description"	"gene"	"gene_description"
"Phenyl"	""	"adeT1"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, tetracycline etc. "
"Quaternary Ammonium Compounds (QACs)"	""	"adeT2"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, ciprofloxacin, erythromycin etc."
"Phenanthridine"	""	"adeT2"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, ciprofloxacin, erythromycin etc."
"Acridine"	""	"adeT2"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, ciprofloxacin, erythromycin etc."
"Xanthene"	""	"adeT2"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, ciprofloxacin, erythromycin etc."
"Paraquat"	""	"adeT2"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, ciprofloxacin, erythromycin etc."
"Diamindine"	""	"adeT2"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, ciprofloxacin, erythromycin etc."
"Organo-sulfate"	""	"adeT2"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, ciprofloxacin, erythromycin etc."
"Acid"	""	"adeT2"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, ciprofloxacin, erythromycin etc."
"Triarylmethane"	""	"adeT2"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, ciprofloxacin, erythromycin etc."
"QAC-Glutaraldehyde"	""	"adeT2"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, ciprofloxacin, erythromycin etc."
"Phenyl"	""	"adeT2"	"It can confer resistant to antibiotics such as chloramphenicol, novobiocin, gentamicin, kanamycin, nalidixic acid, ciprofloxacin, erythromycin etc."
"Phenanthridine"	""	"smrA"	"ABC-type multidrug efflux pump protein SmrA"
"Xanthene"	""	"smrA"	"ABC-type multidrug efflux pump protein SmrA"
"Quaternary Ammonium Compounds (QACs)"	""	"smrA"	"ABC-type multidrug efflux pump protein SmrA"
"Diamidine"	""	"smrA"	"ABC-type multidrug efflux pump protein SmrA"
"Zinc (Zn)"	""	"mdtA"	"Multidrug resistance protein MdtA. Part of a tripartite efflux system composed of MdtA, MdtB and MdtC. MdtB forms a heteromultimer with MdtC.  MdtABC multidrug efflux systems has a role in metal resistance."
"Zinc (Zn)"	""	"mdtB"	"Multidrug resistance protein MdtB. Part of a tripartite efflux system composed of MdtA, MdtB and MdtC. MdtB forms a heteromultimer with MdtC.  MdtABC multidrug efflux systems has a role in metal resistance."
"Zinc (Zn)"	""	"mdtC"	"Multidrug resistance protein MdtC. Part of a tripartite efflux system composed of MdtA, MdtB and MdtC. MdtB forms a heteromultimer with MdtC.  MdtABC multidrug efflux systems has a role in metal resistance."
"Copper (Cu)"	""	"baeS"	"Member of the two-component regulatory system BaeS/BaeR. Activates BaeR by phosphorylation which then activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons."
"Zinc (Zn)"	""	"baeS"	"Member of the two-component regulatory system BaeS/BaeR. Activates BaeR by phosphorylation which then activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons."
"Tungsten (W)"	""	"baeS"	"Member of the two-component regulatory system BaeS/BaeR. Activates BaeR by phosphorylation which then activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons."
"Acid"	""	"baeS"	"Member of the two-component regulatory system BaeS/BaeR. Activates BaeR by phosphorylation which then activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons."
"Copper (Cu)"	""	"baeR"	"Member of the two-component regulatory system BaeS/BaeR. Activates BaeR by phosphorylation which then activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons."
"Zinc (Zn)"	""	"baeR"	"Member of the two-component regulatory system BaeS/BaeR. Activates BaeR by phosphorylation which then activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons."
"Tungsten (W)"	""	"baeR"	"Member of the two-component regulatory system BaeS/BaeR. Activates BaeR by phosphorylation which then activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons."
"Acid"	""	"baeR"	"Member of the two-component regulatory system BaeS/BaeR. Activates BaeR by phosphorylation which then activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons."
"Paraquat"	""	"yddg/emrE"	"Methyl viologen resistance protein YddG, Probable efflux pump. Required for resistance to methyl viologen. May function with OmpD porin"
"Paraquat"	""	"smvA/emrB"	"Methyl viologen resistance protein SmvA, Major efflux pump for Acriflavine and other quaternary ammonium compounds (QACs). Also required for resistance to methyl viologen, Mutants show increased sensitivity to methyl viologen and Acriflavine."
"Quaternary Ammonium Compounds (QACs)"	""	"smvA/emrB"	"Methyl viologen resistance protein SmvA, Major efflux pump for Acriflavine and other quaternary ammonium compounds (QACs). Also required for resistance to methyl viologen, Mutants show increased sensitivity to methyl viologen and Acriflavine."
"Bisbenzimide"	""	"smvA/emrB"	"Methyl viologen resistance protein SmvA, Major efflux pump for Acriflavine and other quaternary ammonium compounds (QACs). Also required for resistance to methyl viologen, Mutants show increased sensitivity to methyl viologen and Acriflavine."
"Phenanthridine"	""	"smvA/emrB"	"Methyl viologen resistance protein SmvA, Major efflux pump for Acriflavine and other quaternary ammonium compounds (QACs). Also required for resistance to methyl viologen, Mutants show increased sensitivity to methyl viologen and Acriflavine."
"Acridine"	""	"smvA/emrB"	"Methyl viologen resistance protein SmvA, Major efflux pump for Acriflavine and other quaternary ammonium compounds (QACs). Also required for resistance to methyl viologen, Mutants show increased sensitivity to methyl viologen and Acriflavine."
"Organo-sulfate"	""	"sdeA"	"Multidrug resistance secretion protein SdeA; part of the sdeAB-tolC efflux system"
"Phenanthridine"	""	"sdeA"	"Multidrug resistance secretion protein SdeA; part of the sdeAB-tolC efflux system"
"Alkane"	""	"sdeA"	"Multidrug resistance secretion protein SdeA; part of the sdeAB-tolC efflux system"
"Biguanides"	""	"sdeA"	"Multidrug resistance secretion protein SdeA; part of the sdeAB-tolC efflux system"
"Quaternary Ammonium Compounds (QACs)"	""	"sdeA"	"Multidrug resistance secretion protein SdeA; part of the sdeAB-tolC efflux system"
"Nickel (Ni)"	""	"hupE2"	"A hupE-homolog. It is a metal permease. There is a low level of amino acid sequence identity between hupE and hupE2. It is involved in hydrogen oxidation in R. leguminosarum bv. Viciae. "
"Chromium (Cr)"	""	"ceuE"	"Periplasmic iron-binding protein Iron(III) ABC transporter CeuE; Encodes for membrane proteins; This protein reduces chromate (CrO4) accumulation and is essential for chromate resistance."
"Cadmium (Cd)"	""	"cznC"	"Cadmium-zinc-nickel outer membrane efflux protein cznC"
"Zinc (Zn)"	""	"cznC"	"Cadmium-zinc-nickel outer membrane efflux protein cznC"
"Nickel (Ni)"	""	"cznC"	"Cadmium-zinc-nickel outer membrane efflux protein cznC"
"Cadmium (Cd)"	""	"cznB"	"Cadmium-zinc-nickel resistance protein cznB"
"Zinc (Zn)"	""	"cznB"	"Cadmium-zinc-nickel resistance protein cznB"
"Nickel (Ni)"	""	"cznB"	"Cadmium-zinc-nickel resistance protein cznB"
"Cadmium (Cd)"	""	"cznA"	"Cadmium-zinc-nickel resistance protein cznA"
"Zinc (Zn)"	""	"cznA"	"Cadmium-zinc-nickel resistance protein cznA"
"Nickel (Ni)"	""	"cznA"	"Cadmium-zinc-nickel resistance protein cznA"
"Molybdenum (Mo)"	""	"perO"	"PerO is involved in molybdate uptake. In addition to importing molybdate, PerO probably importssulfate, tungstate, and vanadate."
"Tungsten (W)"	""	"perO"	"PerO is involved in molybdate uptake. In addition to importing molybdate, PerO probably importssulfate, tungstate, and vanadate."
"Vanadium (V)"	""	"perO"	"PerO is involved in molybdate uptake. In addition to importing molybdate, PerO probably importssulfate, tungstate, and vanadate."
"Tellurium (Te)"	""	"actP"	"Acetate Permease (ActP) is responsible for tellurite uptake and resistance in cells of the facultative phototroph Rhodobacter capsulatus."
"Copper (Cu)"	""	"cutO"	"Multi copper oxidase CutO; Involved in copper resistance; CutO confers copper tolerance not only under aerobic conditions, as described for the well-characterized E. coli multicopper oxidase CueO, but also under anaerobic conditions."
"Copper (Cu)"	""	"cutR"	"CutR acts as a repressor of cutO Expression under low copper concentrations; Member of the two-component regulatory system CutS/CutR, involved in the regulation of copper metabolism."
"Quaternary Ammonium Compounds (QACs)"	""	"emmdR"	"MATE efflux family protein; EmmdR is an H+-drug antiporter but not a Na+ driven efflux pump"
"Phenanthridine"	""	"emmdR"	"MATE efflux family protein; EmmdR is an H+-drug antiporter but not a Na+ driven efflux pump"
"Acridine"	""	"emmdR"	"MATE efflux family protein; EmmdR is an H+-drug antiporter but not a Na+ driven efflux pump"
"Xanthene"	""	"emmdR"	"MATE efflux family protein; EmmdR is an H+-drug antiporter but not a Na+ driven efflux pump"
"Nickel (Ni)"	""	"ncrC"	"Chromosomal nickel-resistant membrane protein NcrC found both in chromosome and plasmids. Part of ncrABCY nickel resistance determinant system. It encodes a membrane protein that forms an efflux with another membrane protein ncrA."
"Lead (Pb)"	""	"pbrR"	"A transcription factor, pbrR belonging to the merR family"
"Aromatic hydrocarbons"	""	"ttgT"	"Regulator of the ttgDEF efflux pump ttgT; Can regulate the ttgDEF system expression in ttgV-deficient condition; effect of TtgT on ttgGHI Expression is not obvious when TtgV is present but becomes relevant in its absence"
"Polystyrenes"	""	"ttgT"	"Regulator of the ttgDEF efflux pump ttgT; Can regulate the ttgDEF system expression in ttgV-deficient condition; effect of TtgT on ttgGHI Expression is not obvious when TtgV is present but becomes relevant in its absence"
"Mercury (Hg)"	""	"merA"	"Mercury reductase enzyme, merA; resistance to Hg2+ in bacteria appears to be governed by a specialized system which includes mercuric reductase. MerA protein is responsible for volatilizing mercury as Hg0."
"Arsenic (As)"	""	"arsH"	"Arsenical resistance protein ArsH; ArsH is not required for arsenate resistance in some systems; arsH encodes an NADPH-flavin mononucleotide oxidoreductase and has been shown to be involved in arsenic resistance in Yersinia enterocolitica and Sinorhizobium meliloti. It is an essential component in a new four gene arsenical resistance transposon associated operon, arsHRBC."
"Cobalt (Co)"	""	"nreB"	"Nickel resistance protein nreB (also known as nrsD or entS); nickel permease involved in nickel and cobalt tolerance. The histidine-rich C-terminal region of the nreB is not essential but contributes to maximal Ni(II) resistance. "
"Nickel (Ni)"	""	"nreB"	"Nickel resistance protein nreB (also known as nrsD or entS); nickel permease involved in nickel and cobalt tolerance. The histidine-rich C-terminal region of the nreB is not essential but contributes to maximal Ni(II) resistance. "
"Copper (Cu)"	""	"copA"	"Copper resistance protein A."
"Copper (Cu)"	""	"copB"	"Copper resistance protein B. Required for the copper-inducible expression of copper resistance; part of the copper resistance determinant system."
"Copper (Cu)"	""	"copC"	"Copper resistance protein C."
"Copper (Cu)"	""	"copA"	"Copper resistance protein A. Required for the copper-inducible expression of copper resistance; part of the copper resistance determinant system."
"Copper (Cu)"	""	"copB"	"Copper resistance protein B."
"Nickel (Ni)"	""	"nrsS"	"Sensory transduction histidine kinase NrsS/RppB/Hik30"
"Nickel (Ni)"	""	"nrsR"	"OmpR subfamily protein NrsR/RppA/Rre33"
"Nickel (Ni)"	""	"nrsD/nreB"	"nrsD gene encodes a Ni(II) permease whose carboxy-terminal region is a metal binding domain; nickel permease involved in nickel and cobalt tolerance"
"Cobalt (Co)"	""	"nrsD/nreB"	"nrsD gene encodes a Ni(II) permease whose carboxy-terminal region is a metal binding domain; nickel permease involved in nickel and cobalt tolerance"
"Acridine"	""	"vcrM"	"A Na+/drug antiporter-type multidrug efflux pump vcrM"
"Diamidine"	""	"vcrM"	"A Na+/drug antiporter-type multidrug efflux pump vcrM"
"Bisbenzimide"	""	"vcrM"	"A Na+/drug antiporter-type multidrug efflux pump vcrM"
"Xanthene"	""	"vcrM"	"A Na+/drug antiporter-type multidrug efflux pump vcrM"
"Quaternary Ammonium Compounds (QACs)"	""	"vcrM"	"A Na+/drug antiporter-type multidrug efflux pump vcrM"
"Phenanthridine"	""	"vcrM"	"A Na+/drug antiporter-type multidrug efflux pump vcrM"
"Acridine"	""	"lde"	"Efflux pump Lde"
"Phenanthridine"	""	"lde"	"Efflux pump Lde"
"Arsenic (As)"	""	"aioX/aoxX"	"A periplasmic oxyanion-binding protein involved in regulating arsenite oxidation"
"Cobalt (Co)"	""	"corR/coaR"	"Cobalt-dependent transcriptional regulator, CorR"
"Magnesium (Mg)"	""	"corR/coaR"	"Cobalt-dependent transcriptional regulator, CorR"
"Cobalt (Co)"	""	"corT/coaT"	"Cation-transporting ATPase E1-E2 ATPase, CorT"
"Mercury (Hg)"	""	"merR"	"Mercuric resistance operon regulatory protein."
"Mercury (Hg)"	""	"merT-P"	"A novel putative transport protein consisting of a fusion between the integral membrane Hg(II) transporter MerT and the periplasmic Hg(II)-binding protein MerP."
